"Name","Team","Bye Week","Rank","Points","Risk","ADP","Tier","Outlook","Dynasty","Markers"
"Randall Cobb","GB","14","59","130.2","6.3","22.02","7","Per our extensive research, Cobb is the only WR left on the Green Bay roster who has done a State Farm commercial with Aaron Rodgers, which means he leads the group in trust rankings. In all seriousness, this WR depth chart is wide open, and Cobb should see some targets out of the slot. If 4 catches for 32 yards is your thing, ole Randy Cobb is your guy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jameson Williams","DET","6","60","126.5","6.7","10.07","8","Jameson Williams tore his ACL in the National Title game for Alabama, so his rookie year could get off to a slow start. He’s a name to monitor for the second half of the season in what is quietly a really exciting Lions offense with a ton of talent.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"DeAndre Hopkins","ARI","13","61","126.2","7.7","6.09","8","Hopkins is a tough guy to draft in season-long leagues this year given that he was slapped with a 6-game suspension to open the year. We know Hopkins is an extremely talented WR, but this isn’t the same role for Hopkins that it was when he was a Houston Texan. He’s now 30 years old, and in this Cardinals’ offense, the targets are more spread out. A year ago, he only saw a 20.7% target share which is well below the 30% mark he saw when he was in Houston. In general, the arrow is pointing down on Nuk.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kendrick Bourne","NE","10","62","126.1","3.7","21.02","8","The Patriots are likely to run the heck out of the football and now DeVante Parker is on the roster. He’ll rotate in and out of the lineup as the team’s WR2 on a run first team…gross.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Treylon Burks","TEN","6","63","125.8","7.3","7.03","8","The Titans depth chart is wide open after the A.J. Brown trade. Tennessee replaced Brown with Burks via the 1st round of the NFL Draft and as it stands currently, Robert Woods is the only real competition for targets. Woods, who’s now 30 years old, is coming off a torn ACL, further opening up Burks’ opportunity. That said, this offense still flows through King Henry.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jahan Dotson","WAS","14","64","122.5","5.7","12.07","8","Terry McLaurin is still there to lead the team in targets, but the WR2 role is up for grabs after a disappointing season from Curtis Samuel. His 1st Round Draft capital suggests the team will want to work him into the lineup sooner rather than later, but can Carson Wentz support multiple fantasy pass catchers?","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Donovan Peoples-Jones","CLE","9","65","121.7","3.7","17.05","8","Amari Cooper is this team’s WR1, but the WR2 spot is a competition between DPJ and 2022 3rd round rookie, David Bell. Peoples-Jones has flashed an ability to produce on the deep ball intermittently throughout his young career and now he gets a QB upgrade to Deshaun Watson. We’ll see!","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Corey Davis","NYJ","10","66","121.6","5.3","18.10","8","Davis’ 2022 fantasy outlook depends largely on whether or not Zach Wilson can take a step forward in his second NFL season. Obviously, we sort of know what Davis is at this point in his career and with the team adding Elijah Moore last year and Garrett Wilson with the 10th overall pick this season, our expectations for the former #5 overall pick need to be kept in check. After all, the Jets ranked 28th in scoring and plays per game last year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mecole Hardman","KC","8","67","121.2","5.3","15.03","8","The bull case for Mecole Hardman is that Tyreek Hill is out of the way and this is an ambiguous WR depth chart. The bear case is that the Chiefs may have told us how they feel about Hardman by their transactions this off-season. They signed MVS and JuJu in free agency then drafted Skyy Moore in round 2 of the NFL Draft. Of course, any WR tied to Patrick Mahomes will have usable fantasy weeks, but Hardman is tough to trust after what we’ve seen thus far.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Robby Anderson","CAR","13","68","120.3","7.3","17.02","8","Remember Robby Anderson? After a forgettable 2021 season, we don’t blame you if you don’t. He entered the year with the QB chemistry narrative with Sam Darnold thanks to their days together in New York, but man, did he disappoint. Anderson caught just 48% of his targets last year, one of the worst marks in football. Darnold is still playing QB for what projects as a bottom five offense. Yikes.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"DJ Chark Jr.","DET","6","69","119.7","4.3","13.03","8","The Lions' pass-catching room is suddenly one of the more exciting ones in football, but it’s awfully crowded. Chark joins a competition for targets that includes T.J. Hockenson, Amon-Ra St. Brown, rookie Jameson Williams, and D’Andre Swift out of the backfield. We should expect some splash weeks for Chark this year, but the consistency will be an issue.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Curtis Samuel","WAS","14","70","119.2","7.7","16.12","8","Samuel’s 2021 season was one to forget. He was brought over from Carolina to reunite with Ron Rivera, but a lingering groin injury derailed his season. Now, the team added Jahan Dotson in the 1st round of the NFL Draft and re-signed JD McKissic to steal work out of the backfield. We won’t blame anyone for throwing a dart at Samuel late in their draft, but it’s tough to feel confident about Samuel in 2022.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Rondale Moore","ARI","13","71","119.0","5.0","12.10","8","Moore’s 2022 fantasy outlook has been a wild ride this off-season. After DeAndre Hopkins’ 6-game suspension, the trade for Marquise Brown, and the loss of Christian Kirk via free agency, Moore’s range of outcomes are all over the map. The reality is, however, unless Moore finds his way onto the field as the every down slot WR for the Cardinals, he just won’t see the field often enough to be reliable in fantasy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jamison Crowder","BUF","7","72","118.7","6.3","16.02","8","Crowder goes from one of the worst offenses in football a year ago with the Jets to playing in arguably the best offense in football with Josh Allen and the Bills. Cole Beasley saw a 19% target share last season, so Crowder should have an opportunity as the Bills’ slot WR. We know the ceiling for a guy like Crowdaaahhhhh is low, but he’s a solid bench option who can fill in during bye weeks.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Byron Pringle","CHI","14","73","113.7","7.3","23.05","9","Well, someone has to operate as the Bears WR2 this year, right? Although, Byron Pringle barely produced with Patrick Mahomes, so what makes us think he can be a reliable option with Justin Fields in year two?","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Joshua Palmer","LAC","8","74","113.6","3.7","18.11","9","Palmer flashed as a rookie at times last season, and there was hope he could emerge if the team decided to move on from Mike Williams. Well, they didn't! Instead, they locked up Williams to a 3-year deal, which makes Palmer the WR3 at best on this squad. Keep an eye out for him on the waiver wire this year should Williams or Keenan Allen miss any time.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"A.J. Green","ARI","13","75","110.8","6.3","19.10","9","Oh, A.J… your career was amazing over the last decade, but as they say, all good things must come to an end. Green’s back with Arizona on a one-year deal for his age 34 season and averaged just 3.4 receptions per game last year. In other words, you couldn’t start him with any confidence. Sure, DeAndre Hopkins is suspended for six games and Christian Kirk is gone, but it was tough to watch last season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Cedrick Wilson Jr.","MIA","11","76","107.8","3.7","24.01","9","Wilson was quietly a nice option for the Cowboys at times last season but now finds himself playing on a depth chart that includes Tyreek Hill, Jaylen Waddle, and Mike Gesicki. Sure, he'll mix in as a WR3, but if Mike McDaniels wants to employ a scheme similar to that of San Francisco, we can't really get excited about a WR3 on a run-heavy team.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Christian Watson","GB","14","77","106.3","6.0","9.11","9","Davante Adams has averaged 153 targets per year over the last four seasons, opening up a massive hole on the depth chart. Can Christian Watson earn the trust of Aaron Rodgers as a rookie to help fill the void? We don't mind taking a flier later in drafts but realize that no rookie WR with Aaron Rodgers has ever seen more than 73 targets.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Skyy Moore","KC","8","78","106.2","5.7","10.07","9","Tyreek Hill’s 25% target share is up for grabs in KC’s offense, and with the lack of high-end talent on the WR depth chart, it makes sense to take some shots on Moore in drafts. After all, Mahomes has thrown for at least 37 TD in three of his four pro seasons as a starter. They can’t all go to Travis Kelce, right?","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Devin Duvernay","BAL","10","79","104.5","3.7","19.08","9","Marquise Brown’s 26% target share is gone, opening up plenty of volume for one of the WRs in Baltimore. That’s most likely to be Rashod Bateman, but Duvernay is a name to monitor for deeper formats as there’s a path to the WR2 role behind Bateman. Of course, the concern is that this offense figures to be run heavy and Mark Andrews will likely lead the team in targets.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"John Metchie III","HOU","6","80","102.0","5.5","17.01","9","Metchie tore his ACL during his final season at Alabama before being drafted by Houston in the 2nd round of this April’s Draft. He will likely start slow as a result, making him low on our boards in redraft, but he’s a name to monitor to see if he becomes a waiver wire hero later in the year. The depth chart behind Brandin Cooks is wide open in Houston.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Nico Collins","HOU","6","81","101.4","4.3","21.10","9","Brandin Cooks is the WR1 and John Metchie’s 2nd round draft capital suggests he’s the WR2 when he’s healthy. Collins will probably rotate as the WR3 on one of the worst teams in football.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Alec Pierce","IND","14","82","98.1","6.7","15.06","9","The Colts took Alec Pierce in the 2nd round of the NFL Draft, and the depth chart and opportunity behind Michael Pittman Jr. is wide open. He's one of just a handful of rookies that could take the field as early as Week 1, making him a fine late-round dart throw, especially in deeper formats.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Sammy Watkins","GB","14","83","96.7","5.3","18.07","9","The Lizard King isn’t even a lock to make the Packers 53-man roster as he signed just a one-year deal worth $1.85 million and can be cut for the same dead cap hit as you, the reader. Yup, zero dollars.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Parris Campbell","IND","14","84","96.0","6.7","21.05","9","Injuries, injuries, and more injuries - that’s the story of Parris Campbell’s three-year career thus far. Maybe he can stay healthy and earn more playing time on a Colts depth chart that’s wide open behind Michael Pittman Jr.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Zay Jones","JAX","11","85","92.0","5.5","23.06","9","Jones has struggled to earn targets in his career, as he’s failed to eclipse a 12% target share in each of his last three seasons in Las Vegas. It’s probably best we keep our expectations low for a WR who’s now playing for an organization that’s difficult to get excited about in Jacksonville.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Wan'Dale Robinson","NYG","9","86","89.8","6.0","19.12","9","The Giants surprised a lot of people when they took Wan'Dale Robinson in Round 2 of April's draft. He'll probably carve out a role in the return game early in the season, but with Sterling Shepard recovering from a torn Achilles, he could work his way into the WR3/4 on the depth chart.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"James Washington","DAL","9","87","82.9","4.3","24.08","10","Washington lands in Dallas on a one-year deal worth less than $2 million after earning a riveting 7.5% target share last season. I suppose Washington could earn some playing time as the Cowboys’ WR3/4, especially early in the season if Gallup isn’t ready to start the year coming off his ACL injury.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Terrace Marshall Jr.","CAR","13","88","81.1","7.7","23.06","10","Wowza...that 2021 season didn't go well did it? Despite 2nd round Draft capital, Marshall couldn't find his way onto the field. D.J. Moore and Robby Anderson are back, but the Panthers didn't do much to upgrade the QB position, so even if Anderson gets traded or Moore gets injured, it might not matter. Christian McCaffrey is also back to soak up a ton of targets out of the backfield.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Laviska Shenault Jr.","JAX","11","89","80.7","6.8","20.08","10","Laviska didn’t do much in 2021 in Urban Meyer’s system where he was used as a low aDOT player. Maybe a scheme change and Trevor Lawrence in year two can change that, but at this point, Viska is nothing more than a late-round dart.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Olamide Zaccheaus","ATL","14","90","77.6","5.3","26.10","10","If you haven't taken a look at the Falcons' depth chart, it's a real treat. We wouldn't recommend doing it while driving or bad things could happen. That depth chart includes Zaccheaus, who could be third in line for targets from ya boy Marcus Mariota. Let's be real, he's a replacement-level talent who is firmly behind Kyle Pitts and Drake London in the pecking order for one of (if not the) worst offense in football. Yucky.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"David Bell","CLE","9","91","77.2","6.0","15.12","10","Bell's range of outcomes in 2022 is pretty wide. A lot will depend on if Deshaun Watson gets to play all 17 games and if Bell can beat out Donovan Peoples-Jones as the WR2. He's been comped to a Jarvis Landry type, and ironically, Landry is no longer in Cleveland.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jalen Tolbert","DAL","9","92","73.6","5.3","15.10","10","Because Amari Cooper is now a Brown and Cedrick Wilson is a Dolphin, Dallas is among the leaders in the league in terms of vacated targets available at the WR position. If Tolbert can earn the WR3 role out of camp over James Washington, he could have some fantasy viable weeks in a good passing offense. Look for him on the waiver wire throughout the year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"George Pickens","PIT","9","93","70.9","6.7","12.06","10","For 2022, we probably shouldn't expect too much given that he'll be competing with Diontae Johnson and Chase Claypool for targets. Of course, there are QB concerns as well with some combination of Kenny Pickett and Mitch Trubisky. He has the type of tools you want in a future WR1 but expecting anything more than being the 4th best option in this offense is probably wishful thinking.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Velus Jones Jr.","CHI","14","94","63.5","6.7","24.02","10","Behind Darnell Mooney, the WR depth chart is wide open. Maybe Jones could surprise some people and catch a few passes from Justin Fields? He'll probably start the year as the team's kick and punt returner.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Anthony Schwartz","CLE","9","95","60.1","4.7","26.04","10","Anthony Schwartz saw just 23 targets as a rookie. He'll have to compete with David Bell and Donovan Peoples-Jones for targets behind Amari Cooper.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Nelson Agholor","NE","10","96","53.3","5.3","46.07","10","Remember when the Patriots out-bid themselves on Agholor and Kendrick Bourne last free agency period then chose to run the ball at the highest rate in football? Good times. Only four NFL WRs carry a bigger cap hit than Agholor in 2022. Unless the Patriots decide to let Mac Jones throw the ball more this year, they’re paying Agholor a ton of money to block his butt off.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Sterling Shepard","NYG","9","97","47.0","9.0","23.09","10","Shepard is coming off a late-season Achilles injury, and a lot of the data shows older players struggle off this surgery. He recently turned 29 years old, suggesting the odds are stacked against him being productive, especially early in the season. While this new look offense under Brian Daboll is something to get excited about, Shepard’s injury makes him a giant question mark…pun intended.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tyquan Thornton","NE","10","98","46.1","6.0","21.08","10","We wouldn't be surprised to see Thornton get stuck behind the other Pats WRs as a rookie. He will probably contribute on special teams to open the year but could find his way onto the field as a field stretcher as the year goes on. Nevertheless, this is a low-volume passing offense and despite his tantalizing speed, he's not on the redraft radar in 2022.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
